S1-B2;Z≥om manganowy;material0000047e;ZC;FALSE;FALSE
W1;Z≥om stalowy kawa≥kowy o gruboúci powyøej 6 mm;material000004ab;ZC;TRUE;TRUE
W10;Klasa nie obowiπzuje w roku 2005;material000004ac;ZC;FALSE;FALSE
W13;WiÛry stalowe luzem nieskorodowane;material000004ad;ZC;TRUE;TRUE
W13Ø;WiÛry øeliwne;material000004ae;ZC;FALSE;FALSE
W15;Klasa nie obowiπzuje w roku 2005;material000004af;ZC;FALSE;FALSE
W2;Z≥om stalowy kawa≥kowy o gruboúci powyøej 4 mm;material000004b0;ZC;TRUE;TRUE
W3;Z≥om stalowy kawa≥kowy drobny, minimalna gruboúÊ 8 ;material000004b1;ZC;FALSE;FALSE
W5;Z≥om stalowy kawa≥kowy bez odcinkÛw rur,  minimalna;material000004b3;ZC;TRUE;TRUE
W5S1;Szyny do 40 cm;material000004b6;ZC;TRUE;TRUE
W5S2;Szyny do 1,5 m;material000004b7;ZC;TRUE;TRUE
W8;Z≥om wsadowy z prasonoøyc bez zawartoúci karoserii ;material000004ba;ZC;TRUE;TRUE
ZZE;Z≥om øeliwny emaliowany;material000004e9;ZC;TRUE;TRUE
ZZG;Z≥om øeliwny wielkogabarytowy;material000004ea;ZC;TRUE;TRUE
ZZW;Z≥om øeliwny wsadowy;material000004eb;ZC;TRUE;TRUE
10.2;Z≥om z 25% zawartoúciπ metali kolorowych;material00000694;ZK;FALSE;FALSE
N10 A;Z≥om pochodzπcy z przetworzenia zuøytego sprzÍtu AG;material00000747;ZC;FALSE;FALSE
N10 W;Z£OM METALI KOLOROWYCH Z WYSORTU;material000007f2;ZK;TRUE;FALSE
4.2 CH;ALUMINIUM CH£ODNICE Z£OM;material0000082a;ZK;TRUE;FALSE
7.0 A;CHROMONIKIEL Z£OM O ZAWARTOåCI NIKLU POW. 9%;material00000b41;ZK;TRUE;FALSE
4.12;CH£ODNICE ALUMINIOWO MIEDZIANE Z£OM;material00000cdf;ZK;TRUE;FALSE
4.8 R;ALUMINIUM ROLETY Z£OM;material00000d28;ZK;TRUE;FALSE
1.3 COPPER;MIEDè NIESORT Z£OM;material00000d65;ZK;FALSE;FALSE
5.2;CYNA Z£OM;material00000d69;ZK;TRUE;FALSE
3.2;BR•Z WI”RY Z£OM;material00000da7;ZK;TRUE;FALSE
7.0N;CZYSTY NIKIEL;material00000e7f;ZK;TRUE;FALSE
7.0A1;STAL NIERDZEWNA O ZAWARTOåCI Ni 9,5%, Ni 10%, Ni 11%, Ni 12%;material00000e80;ZK;TRUE;FALSE
7.0A2;STAL NIERDZEWNA O ZAWARTOåCI Ni 10% - 14% i Mo 2% - 3%;material00000e81;ZK;TRUE;FALSE
7.0A3;STAL NIERDZEWNA O ZAWARTOåCI Ni 20% - 25% I Mo 3% - 6%;material00000e82;ZK;TRUE;FALSE
W13B;Brykiet z wiÛr øeliwnych;material00000e88;ZC;FALSE;FALSE
N10SD;Z≥om stalowy do przerobu na strzÍpiarce/prasonoøycy;material00000ec3;ZC;TRUE;TRUE
N10 ZP;Z≥om pochodzπcy z Zak≥adu Przetwarzania ZSEiE;material00000ec4;ZC;TRUE;TRUE
1.0A;Z£OM MIEDZI AGD;material00000f7e;ZK;FALSE;FALSE
4.0A;Z£OM ALUMINIUM AGD;material00000f7f;ZK;FALSE;FALSE
1.0G;Z£OM MIEDZI GRANULAT;material00000f87;ZK;TRUE;FALSE
W1SD;Z≥om stalowy kawa≥kowy o gruboúci powyøej 6 mm ze s;material00000fa2;ZC;FALSE;FALSE
BCZ2P;Blacha g≥Íbokot≥oczona, poprodukcyjna, czarna, wymi;material00000fa4;ZC;FALSE;FALSE
N15P;Z≥om opakowaÒ metalowych z pow≥okπ cyny oraz z≥om z;material00000fb7;ZC;TRUE;TRUE
ZSEE1;Wielkogabarytowe urzπdzenia gospodarstwa domowego;material00000fd5;ZC;TRUE;TRUE
1.6;KABEL MIEDZIANY Z£OM;material00000ff5;ZK;TRUE;FALSE
ZU;Z≥om uøytkowy;material00000fff;ZC;TRUE;TRUE
2.5;MOSI•DZ W ØYKI Z£OM;material00001006;ZK;TRUE;FALSE
4.10;ALUMINIUM ZGARY Z£OM;material00001007;ZK;TRUE;FALSE
4.2K;KABEL ALUMINIOWY Z£OM;material00001018;ZK;TRUE;FALSE
1.6SD;KABEL MIEDZIANY ZE STACJI DEMONTAØU;material0000102c;ZK;TRUE;FALSE
2.0SD;MOSI•DZ Ø”£TY ZE STACJI DEMONTAØU;material0000102d;ZK;TRUE;FALSE
